pl_name,hostname,pl_orbper,pl_bmasse,pl_rade,st_teff,st_mass,st_rad,disc_year,disc_facility,sy_dist,ra,dec,pl_eqt,pl_dens
Kepler-95 b,Kepler-95,11.5231,13.0,3.42,5699.0,1.08,1.41,2014,Kepler,445.656,284.4824281,44.397891,,1.71
Kepler-189 b,Kepler-189,10.399931,,1.21,5235.0,,0.75,2014,Kepler,591.534,287.5646296,44.3050662,,
Kepler-189 c,Kepler-189,20.134866,,2.38,5235.0,,0.75,2014,Kepler,591.534,287.5646296,44.3050662,,
Kepler-1891 b,Kepler-1891,4.02229023,,1.52139156,5516.0,0.873,0.827,2021,Kepler,596.24,290.0438524,44.3705375,,
Kepler-606 b,Kepler-606,24.31575992,,3.31,6161.0,1.13,1.22,2016,Kepler,1215.11,292.42737,44.3812406,,
Kepler-1847 b,Kepler-1847,11.12969971,,2.74516914,6122.0,1.041,0.964,2021,Kepler,1693.86,296.6014013,44.3252289,,
Kepler-884 b,Kepler-884,5.69919514,,1.23,5715.0,1.0,0.94,2016,Kepler,476.733,292.5844328,49.9232012,,
Kepler-367 c,Kepler-367,53.578637,,1.2,4710.0,,0.695,2014,Kepler,188.027,297.292558,49.9817499,,
Kepler-75 b,Kepler-75,8.8849116,3209.9,11.77,5200.0,0.91,0.89,2013,Kepler,835.356,291.1376203,36.5773443,767.0,11.0
Kepler-1078 b,Kepler-1078,3.00725242,,1.9,5612.0,0.94,0.92,2016,Kepler,2481.71,293.2005664,43.0500379,,
Kepler-874 b,Kepler-874,40.0686727,,3.94,6020.0,1.09,1.13,2016,Kepler,1082.16,294.9568477,43.0142991,,
Kepler-1188 b,Kepler-1188,17.1369543,,2.08,5913.0,1.04,1.06,2016,Kepler,1717.48,283.1038438,43.1480487,,
TOI-1470 c,TOI-1470,18.08816,7.24,2.47,3709.0,0.471,0.469,2023,Transiting Exoplanet Survey Satellite (TESS),51.9503,10.0891431,61.2133868,373.0,2.66
TOI-1451 b,TOI-1451,16.537944,15.2,2.61143902,5801.0,1.0022,1.0162,2024,Transiting Exoplanet Survey Satellite (TESS),91.9362,186.5242821,61.2589289,723.33,4.67
HD 136352 b,HD 136352,11.57797,4.72,1.664,5664.0,0.87,1.058,2019,La Silla Observatory,14.682,230.4401147,-48.3188174,905.0,5.623888
TOI-1694 b,TOI-1694,3.770107,31.3,5.3422266,5058.0,0.853,0.8036,2023,Transiting Exoplanet Survey Satellite (TESS),124.68,97.7487104,66.3605956,943.19,1.13
TOI-1768.01,TOI-1768,7.337703649,,3.453,5994.0,1.1,1.1,2024,Transiting Exoplanet Survey Satellite (TESS),157.597,152.1027826,55.5399599,,
HD 110067 e,HD 110067,30.793091,3.9,1.94,5266.0,0.798,0.788,2023,Multiple Observatories,32.1585,189.8392243,20.0273377,533.0,
Kepler-1344 b,Kepler-1344,4.7683049,,1.84,5981.0,1.09,1.13,2016,Kepler,853.959,287.0862799,46.9457998,,
Kepler-1914 b,Kepler-1914,30.82789993,,2.9429803,5982.0,1.047,0.96,2021,Kepler,1621.56,291.4314024,38.6543635,,
K2-333 b,K2-333,14.759287,,6.18,5880.0,1.06,1.22,2021,K2,343.99,136.7892752,15.2056765,826.0,
HIP 113103 c,HIP 113103,14.245648,,2.4,4930.0,0.761,0.742,2023,Transiting Exoplanet Survey Satellite (TESS),46.2122,343.5723794,-43.0102291,585.0,
OGLE2-TR-L9 b,OGLE2-TR-L9,2.4855335,1430.175,18.046,6933.0,1.52,1.53,2008,OGLE,1627.63,166.9798793,-61.1462496,,
